Collect    ,Sampling,Time ,TEMP,DO  ,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,TDS,SS  ,VSS ,TOC ,CN   ,FEC_COL,Chlorophyll-A,Cl,F    ,SO4   ,ALK,As sol,Ba tot,Cu sol,Fe sol,Mn sol,Ni sol,Zn sol,Hg LL,Ca tot,Mg tot,Hardness,B tot,Location Description,Lat,Lon,geometry
2020-01-21 00:00:00,WW_75,845.0,5.0,9.59,7.7,5.511,0.331,<1,0.513,740,6,<4,3,0.005,360,24.4,270.138,0.278,54.232,208,<0.002,0.03136,0.00265,0.03448,0.01526,0.00225,0.01851,1.16,70.09,27.76,289,0.09179,Chicago Sanitary & Ship Canal @ Cicero Ave.,41.819575,-87.74331389,POINT (-87.74331389 41.819575)
2020-01-21 00:00:00,WW_41,930.0,7.0,10.0,7.3,5.14,<0.3,<1,0.311,804,6,<4,3.1,0.007,3300,1,325.763,0.333,69.996,179,<0.002,0.0274,0.0016,0.03697,0.01069,0.00364,0.01971,0.849,61.18,23.02,248,0.16406,Chicago Sanitary & Ship Canal @ Harlem Ave.,41.80121111,-87.80188889,POINT (-87.80188889 41.80121111)
2020-01-21 00:00:00,WW_92,1045.0,5.0,9.77,7.3,3.883,0.774,1.378,0.78,1416,9,<4,2.1,0.013,11000,2.7,707.813,0.305,81.515,174,0.00138,0.03014,0.00238,0.04446,0.02596,0.00314,0.01601,1.449,67.06,23.77,265,0.12046,Chicago Sanitary & Ship Canal @ Lockport Powerhouse Forebay,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889)
2020-01-27 00:00:00,WW_86,955.0,8.0,8.83,7.5,4.026,<0.3,<1,0.257,504,9,<4,3.9,<0.005,5000,2.1,120.397,0.471,89.127,T/X,0.00145,0.02833,0.00119,0.03359,0.02747,0.00125,0.01872,8.07,62.06,19.44,235,0.13956,Grand Calumet River @ Burnham Ave.,41.63131944,-87.5391,POINT (-87.5391 41.63131944)
2020-01-27 00:00:00,WW_56,911.0,5.0,10.37,7.9,2.906,0.323,<1,0.153,516,8,<4,3.5,<0.005,660,2.3,145.801,0.389,88.971,T/X,0.00119,0.03005,0.00185,0.02442,0.0261,0.00151,0.01595,8.005,57.93,20.19,228,0.1316,Little Calumet River @ Indiana Ave.,41.65033056,-87.61712222,POINT (-87.61712222 41.65033056)
2020-01-27 00:00:00,WW_76,943.0,6.0,9.23,7.4,5.004,<0.3,<1,0.476,680,4,<4,3.3,0.006,1300,<1.0,232.444,0.379,79.518,T/X,0.00173,0.0288,0.00212,0.03334,0.01414,0.00201,0.01602,1.997,65.57,22.19,255,0.16491,Little Calumet River @ Halsted St.,41.65751389,-87.64114722,POINT (-87.64114722 41.65751389)
2020-01-27 00:00:00,WW_57,1009.0,3.0,11.6,7.8,1.755,<0.3,<1,0.268,1036,18,<4,3.4,0.006,760,3.3,413.063,0.226,130.284,T/X,<0.002,0.03921,0.00266,0.10955,0.0619,0.00207,0.00808,2.959,72.15,27.64,294,0.09914,Little Calumet River @ Ashland Ave.,41.65167778,-87.66059167,POINT (-87.66059167 41.65167778)
2020-01-27 00:00:00,WW_59,1041.0,5.0,9.58,7.6,3.601,<0.3,<1,0.523,816,11,<4,3,0.007,1000,1.9,325.304,0.326,89.275,T/X,0.00143,0.03081,0.00169,0.05761,0.03027,0.00204,0.01524,2.597,64.51,22.53,254,0.13221,Cal-Sag Channel @ Cicero Ave.,41.65534167,-87.73824167,POINT (-87.73824167 41.65534167)
2020-01-27 00:00:00,WW_92,1145.0,6.0,9.03,7.1,4.032,0.679,<1,0.554,1040,8,<4,2.6,0.009,450,3.8,493.307,0.309,84,T/X,0.0012,0.02999,0.00174,0.04242,0.02527,0.00281,0.02072,2.841,58.88,20.72,232,0.13369,Chicago Sanitary & Ship Canal @ Lockport Powerhouse Forebay,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889)
2020-02-03 00:00:00,WW_109,910.0,5.0,11.17,7.8,4.32,<0.3,<1,0.797,992,19,4,3,<0.005,1100,8.1,433.883,0.285,73.305,227.3,<0.002,0.04558,0.00313,0.05084,0.04414,0.00297,0.01668,<0.5,92.64,37.0,384,0.1023,Salt Creek @ Brookfield Ave.,41.82281111,-87.84154444,POINT (-87.84154444 41.82281111)
