Collect    ,Sampling,Time ,TEMP,DO  ,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,TDS,SS  ,VSS ,TOC ,CN   ,FEC_COL,Chlorophyll-A,Cl,F    ,SO4   ,ALK,As sol,Ba tot,Cu sol,Fe sol,Mn sol,Ni sol,Zn sol,Hg LL,Ca tot,Mg tot,Hardness,B tot,Location Description,Lat,Lon,geometry,As sol_zscore,Ba tot_zscore,Cu sol_zscore,Fe sol_zscore,Mn sol_zscore,Ni sol_zscore,Zn sol_zscore,Hg LL_zscore,Ca tot_zscore,Mg tot_zscore,B tot_zscore
2020-01-06 00:00:00,WW_111,1050.0,5.0,11.76,7.7,11.357,<0.3,1.32,1.442,668,16,6,5,<0.005,2000,13.9,182.03,0.236,68.548,202,0.001,0.03681,0.00241,0.04964,0.0212,0.00144,0.01781,1.045,79.04,31.5,327,0.09424,West Branch DuPage River @ Arlington Dr. ,41.97498333,-88.138625,POINT (-88.138625 41.97498333),-0.42649155398231925,0.4171112218266444,0.18879332848119076,-0.04192602053995977,-0.05403605503218029,-0.5109985145144406,1.057800236633747,-0.4088720680418587,0.819282716954836,0.9097251721238804,-0.4982977675754571
2020-01-06 00:00:00,WW_92,1253.0,8.0,8.05,7.4,5.394,0.364,<1,0.856,656,9,<4,3.8,0.006,120,1.3,214.027,0.343,84.406,155,0.00126,0.02485,0.00154,0.05743,0.01987,0.00244,0.01244,1.162,61.47,22.89,248,0.14057,Chicago Sanitary & Ship Canal @ Lockport Powerhouse Forebay,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),0.048441560509194445,-0.5255750470924809,-0.16289070315009954,0.056518935978993746,-0.10011090703616396,-0.06112517896389209,0.2628048486505668,-0.3815511345833074,-0.005842023619525311,-0.10047585533063227,0.3840338427580189
2020-01-06 00:00:00,WW_77,1133.0,2.0,13.05,7.9,0.377,<0.3,<1,<0.15,982,29,6,2.6,<0.005,99,18.7,412.489,0.193,60.803,214,0.001,0.06288,0.00194,0.04828,0.05852,0.00169,0.00837,1.787,83.66,32.24,342,0.0824,Higgins Creek @ Elmhurst Rd.,42.02141111,-87.94061389,POINT (-87.94061389 42.02141111),-0.42649155398231925,2.471946592288316,-0.001196895503529195,-0.05911281654326863,1.238831220748774,-0.39853018062680345,-0.3397335552770948,-0.23560597721925128,1.03624778818156,0.9965484892337922,-0.7237846284938331
2020-01-13 00:00:00,WW_112,955.0,3.0,11.0,7.7,0.621,<0.3,<1,<0.15,434,9,<4,2.3,<0.005,150,3.7,132.825,0.113,52.732,141,0.001,0.02672,0.00216,0.04586,0.0078,0.00118,0.01045,1.764,50.59,17.89,200,0.04196,North Shore Channel @ Dempster St.,42.04098056,-87.70971944,POINT (-87.70971944 42.04098056),-0.42649155398231925,-0.3781817926711795,0.08773469870208443,-0.08969520354915668,-0.5182488496587823,-0.6279655817575832,-0.03180238078826542,-0.24097675901024854,-0.5167900701447982,-0.6871198898570624,-1.4939441433197724
2020-01-13 00:00:00,WW_36,1030.0,10.0,10.41,7.3,5.629,<0.3,1.088,0.511,1112,8,5,2.5,0.007,7700,<1.0,473.318,0.357,55.688,209,0.001,0.03864,0.00327,0.03326,0.00439,0.00235,0.0225,0.911,77.62,28.34,311,0.13909,North Shore Channel @ Touhy Ave.,42.01193611,-87.71043611,POINT (-87.71043611 42.01193611),-0.42649155398231925,0.5613516793619284,0.5364350149213168,-0.2489258135798131,-0.636380613067492,-0.10161377916344139,1.752125817572502,-0.4401627097807123,0.7525964829414271,0.5389661423031765,0.35584798514322175
2020-01-13 00:00:00,WW_96,1100.0,3.0,12.37,8,1.197,<0.3,<1,<0.15,726,31,6,3.4,<0.005,860,8,285.84,<0.1,45.835,196,0.001,0.03533,0.00236,0.06632,0.01574,0.00112,0.00569,8.09,63.55,26.43,268,0.05905,North Branch Chicago River @ Albany Ave.,41.97428333,-87.70614444,POINT (-87.70614444 41.97428333),-0.42649155398231925,0.30045773704401,0.1685816025253696,0.16886497750062357,-0.24318544746958673,-0.6549579818906163,-0.7364910300992408,1.236221745765782,0.09183922056912976,0.3148681211140802,-1.1684736658624206
2020-01-13 00:00:00,WW_73,1145.0,6.0,10.59,7.5,4.007,0.537,1.239,0.405,1166,15,4,2.6,0.008,10000,4.8,532.411,0.217,50.872,209,0.001,0.03911,0.00293,0.06209,0.01601,0.00175,0.01379,2.57,71.73,27.6,293,0.09014,North Branch Chicago River @ Diversey Ave.,41.93235833,-87.68288333,POINT (-87.68288333 41.93235833),-0.42649155398231925,0.5983970427726297,0.39899527842173216,0.11540898699033172,-0.2338319060853194,-0.37153778049377056,0.4626640244005284,-0.052765884073561795,0.4759894981956681,0.45214282519326504,-0.5763802109678002
2020-01-13 00:00:00,WW_92,1320.0,6.0,9.71,7.5,4.132,<0.3,<1,0.69,474,40,7,3.7,<0.005,5700,3.8,148.34,0.243,57.114,125,0.00124,0.02599,0.00158,0.13761,0.02202,0.00248,0.01191,11.281,49.14,18.37,198,0.09785,Chicago Sanitary & Ship Canal @ Lockport Powerhouse Forebay,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),0.011908244009847151,-0.43572033584099246,-0.14672132238544247,1.0697816591740759,-0.025629003420701624,-0.04313024554187011,0.1843416166894709,1.981359341203707,-0.5848851682570819,-0.6308020625425251,-0.4295471283934184
2020-01-13 00:00:00,WW_37,1120.0,6.0,11.21,7.5,3.643,0.33,1.13,0.416,1040,19,6,2.6,0.007,8600,4.7,476.092,0.219,51.539,200,0.001,0.03863,0.00297,0.06436,0.0131,0.00174,0.01456,5.842,69.66,26.85,285,0.0886,North Branch Chicago River @ Wilson Ave.,41.96484722,-87.69722778,POINT (-87.69722778 41.96484722),-0.42649155398231925,0.5605634801404239,0.41516465918638923,0.14409577149585476,-0.33464229656020084,-0.37603651384927606,0.5766577764949509,0.7112862037587449,0.3787778753733042,0.3641462200143005,-0.6057087384858998
2020-01-21 00:00:00,WW_100,925.0,4.0,11.11,7.4,2.549,0.394,<1,0.308,892,9,<4,1.6,0.008,22000,1.5,439.665,0.17,39.404,141,0.001,0.02996,0.00276,0.02621,0.01247,0.00139,0.01146,1.422,50.98,18.42,203,0.05114,Chicago River Main Stem @ Wells St.,41.88750278,-87.63414167,POINT (-87.63414167 41.88750278),-0.42649155398231925,-0.12280524490379113,0.3302754101719398,-0.3380191310969661,-0.35646722645682466,-0.5334921812919681,0.11772189143948363,-0.3208379491198601,-0.4984748368594256,-0.6249356221972607,-1.3191156481144775
